ID,target
1,fear
2,fear
3,fear
4,fear
5,fear
6,fear
7,fear
8,fear
9,fear
10,fear
11,fear
12,fear
13,fear
14,fear
15,fear
16,fear
17,fear
18,fear
19,fear
20,fear
21,fear
22,fear
23,fear
24,fear
25,fear
26,fear
27,fear
28,fear
29,fear
30,fear
31,fear
32,fear
33,fear
34,fear
35,fear
36,fear
37,fear
38,fear
39,fear
40,fear
41,fear
42,fear
43,fear
44,fear
45,fear
46,fear
47,fear
48,fear
49,fear
50,fear
51,fear
52,fear
53,fear
54,fear
55,fear
56,fear
57,fear
58,fear
59,fear
60,fear
61,fear
62,fear
63,fear
64,fear
65,fear
66,fear
67,fear
68,fear
69,fear
70,fear
71,fear
72,fear
73,fear
74,fear
75,fear
76,fear
77,fear
78,fear
79,fear
80,fear
81,fear
82,fear
83,fear
84,fear
85,fear
86,fear
87,fear
88,fear
89,fear
90,fear
91,fear
92,fear
93,fear
94,fear
95,fear
96,fear
97,fear
98,fear
99,fear
100,fear
101,fear
102,fear
103,fear
104,fear
105,fear
106,fear
107,fear
108,fear
109,fear
110,fear
111,fear
112,fear
113,fear
114,fear
115,fear
116,fear
117,fear
118,fear
119,fear
120,fear
121,fear
122,fear
123,fear
124,fear
125,fear
126,fear
127,fear
128,fear
129,fear
130,fear
131,fear
132,fear
133,fear
134,fear
135,fear
136,fear
137,fear
138,fear
139,fear
140,fear
141,fear
142,fear
143,fear
144,fear
145,fear
146,fear
147,fear
148,fear
149,fear
150,fear
151,fear
152,fear
153,fear
154,fear
155,fear
156,fear
157,fear
158,fear
159,fear
160,fear
161,fear
162,fear
163,fear
164,fear
165,fear
166,fear
167,fear
168,fear
169,fear
170,fear
171,fear
172,fear
173,fear
174,fear
175,fear
176,fear
177,fear
178,fear
179,fear
180,fear
181,fear
182,fear
183,fear
184,fear
185,fear
186,fear
187,fear
188,fear
189,fear
190,fear
191,fear
192,fear
193,fear
194,fear
195,fear
196,fear
197,fear
198,fear
199,fear
200,fear
201,fear
202,fear
203,fear
204,fear
205,fear
206,fear
207,fear
208,fear
209,fear
210,fear
211,fear
212,fear
213,fear
214,fear
215,fear
216,fear
217,fear
218,fear
219,fear
220,fear
221,fear
222,fear
223,fear
224,fear
225,fear
226,fear
227,fear
228,fear
229,fear
230,fear
231,fear
232,fear
233,fear
234,fear
235,fear
236,fear
237,fear
238,fear
239,fear
240,fear
241,fear
242,fear
243,fear
244,fear
245,fear
246,fear
247,fear
248,fear
249,fear
250,fear
251,fear
252,fear
253,fear
254,fear
255,fear
256,fear
257,fear
258,fear
259,fear
260,fear
261,fear
262,fear
263,fear
264,fear
265,fear
266,fear
267,fear
268,fear
269,fear
270,fear
271,fear
272,fear
273,fear
274,fear
275,fear
276,fear
277,fear
278,fear
279,fear
280,fear
281,fear
282,fear
283,fear
284,fear
285,fear
286,fear
287,fear
288,fear
289,fear
290,fear
291,fear
292,fear
293,fear
294,fear
295,fear
296,fear
297,fear
298,fear
299,fear
300,fear
301,fear
302,fear
303,fear
304,fear
305,fear
306,fear
307,fear
308,fear
309,fear
310,fear
311,fear
312,fear
313,fear
314,fear
315,fear
316,fear
317,fear
318,fear
319,fear
320,fear
321,fear
322,fear
323,fear
324,fear
325,fear
326,fear
327,fear
328,fear
329,fear
330,fear
331,fear
332,fear
333,fear
334,fear
335,fear
336,fear
337,fear
338,fear
339,fear
340,fear
341,fear
342,fear
343,fear
344,fear
345,fear
346,fear
347,fear
348,fear
349,fear
350,fear
351,fear
352,fear
353,fear
354,fear
355,fear
356,fear
357,fear
358,fear
359,fear
360,fear
361,fear
362,fear
363,fear
364,fear
365,fear
366,fear
367,fear
368,fear
369,fear
370,fear
371,fear
372,fear
373,fear
374,fear
375,fear
376,fear
377,fear
