ID,Text,target
1,i was sent home still feeling a bit shaky and dizzy,fear
2,i feel like i have a little more control and can help sweet pea better if i know what is ahead,joy
3,i have never been happier nor feel more accepted in my whole life,joy
4,i woke up feeling grouchy and irritable didn t feel settled all day had to remove myself from the patio when the small read his school book and ended up storming out of my own house after discovering he still doesn t flush the toilet,anger
5,i hope i feel mellow well fed well slept at peace with myself within this external world,joy
6,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
7,i feel cute i feel good,joy
8,i will continue to struggle with experiencing normal feelings and the sense theyre chipping away at precious time,joy
9,ive been really angry with r and i feel like an idiot for trusting him in the first place,joy
10,im feeling agitated and pour more brandy on my coffee,fear
11,i could sense that he was uncomfortable when he came to deliver the letter but i was willing to attribute to him feeling weird about being so romantic and vulnerable,fear
12,im feeling hopelessly restless,fear
13,i feel satisfied and happy with my choices today,joy
14,i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,fear
15,i feel like i smell pretty after i use it,joy
16,i do not see but could feel that she is someone i am very reluctant to let go,fear
17,i love my job and know that the surgeries were doing are emergencies i always feel resentful especially when it is am and i was sleeping,anger
18,i feel pleased but at the same time i really don t understand why do we feel this patriotism only twice every year,joy
19,im feeling reluctant to change anything because it is all working so well,fear
20,i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger
21,i are gay and feel assaulted by the right wing,fear
22,i feel so clever to have done that,joy
23,i feel all mellow and calm,joy
24,i feel like i m running in circles and i m terrified,fear
25,i saw i had a direct message dm on twitter from a former friend jeff who i no longer feel friendly toward,joy
26,i already feel the atmosphere around it seems dangerous,anger
27,i could wear on a casual shopping trip to feel fabulous without even trying,joy
28,i was also worried about the long trip because i had vomited the night before and as you may guess im not feeling well at all,joy
29,im feeling really bitchy so just stop reading if you dont want to hear my sob story,anger
30,i feel more and more stressed,anger
31,im feeling very hesitant about wanting to buy another house,fear
32,i hardly feel like i had a weekend if i dont get fucked up,anger
33,i feel like every day is a blur of running being irritated with my son and doing something pertaining to making dinn,anger
34,i feel like im not being the joyful me maybe its the hormones just act like how you feel never lie to yourself,joy
35,i feel so friggin blessed with a wonderful career and family,joy
36,i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated,anger
37,i sense this is wat has let you feeling unsure,fear
38,i keep seeing facebook updates of friends who get to go and i am feeling rather envious,anger
39,i was feeling irate and extremely uncomfortable,anger
40,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,joy
41,i feel like i should have some wine or something i was amused,joy
42,i just feel resentful and show my resentment by eating tempura and sundaes,anger
43,i feel intimidated by other girls acne getting rid of pimples,fear
44,i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,fear
45,i was feeling really frantic i knew i had to find james there too,fear
46,i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,joy
47,i kept crying or feeling cranky,anger
48,i was about to feel insulted and show opportunity the finger then the door when it presented the prize two weeks in italy,anger
49,i cant help feeling agitated about,fear
50,i reach for your hand feel its warmth sense a strange mysterious connection the greater sea of lives intimately shared and buoyed by a wave of love hope and joy surrender to its greater transcendent surge letting it take me wherever it will,fear
51,i was starting to feel nervous all this lifetime of fandom and build up and there i stood donning my vip sticker,fear
52,im not feeling frantic yet so instead i am going to make this sleep teddy,fear
53,i do at times feel a bit strange with my mom ushering her about as though shes her traumatic brain injury is really doing a toll on her mental and physical capacities,fear
54,i had hoped to not feel the weakness to not be bothered by every song every joke i hear,anger
55,i just feel so overwhelmed by the feeling of balance that i just,fear
56,i would feel so pissed off,anger
57,i hate feeling indecisive because im being negative right now and i dont know what i want,fear
58,i had been feeling was all my fault that i had wronged her and caused her to abandon me,anger
59,i was feeling pretty wimpy in it,fear
60,i feel rebellious and think let them do so,anger
61,i get to tell her that i love her to make her feel valued and appreciated to tell her how beautiful and intelligent she is i do,joy
62,i keep feel irritated,anger
63,i just feel so safe,joy
64,i too still believe in feminism and i still believe in the saving power of rock music as bauer proclaims at the end of the article so why am i left feeling skeptical and unconvinced,fear
65,i feel honored that my art is going to fill a room where sick children need all the joy they can get,joy
66,i feel like if there are pickles in the fridge everything will be ok,joy
67,i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,joy
68,the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,joy
69,i have now lived in virginia for about eight whole months and it feels super weird,joy
70,i never thought i could feel thankful for such an awful thing but i am for making me stronger even as my husband gets weaker,joy
71,i feel so rich when i pass by you i see a penny,joy
72,i don t want to feel frustrated about this anymore,anger
73,im not much of a people watcher or a voyeur so i feel kinda weird when walking around taking street shots,fear
74,i always think of you as such a violent band violently feeling violent lyrics musically violent,anger
75,i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,joy
76,im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger
77,i feel like its petty to be worried about it,anger
78,i last saw him and already im feeling this agitated,anger
79,i have a feeling i shall go mad,anger
80,i felt i completely belonged and i didn t feel shy and frightened any more,fear
81,i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
82,i was beginning to feel fear nevertheless a stubborn person i am i swept the superstition away but i reminded myself to pay extra caution,anger
83,i feel the self pressured expectation to keep up to date with our family events so in order to assuage the guilt here we go,fear
84,i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear
85,i feel about him i never really told him too much guess i was scared but i havent got anything to loose now,fear
86,i liked the ending but i did feel like it was a little bit rushed,anger
87,i will be thinking of each one of you i will be happy toast and feel my sincere huge magical group hug link rel stylesheet type text css href http jdelivery,joy
88,i could genuinely connect and enjoy instead of withdrawing and feeling resentful,anger
89,i feel fab if i can get hours sleep in one go but sam doesnt always oblige,joy
90,i overhear the victory tune on some geeks ringtone i feel triumphant,joy
91,i feeling distressed,fear
92,i was feeling as if i am in the lap of the divine mother and she is holding me in her soft and tender arms,joy
93,i think nicely sums up the feeling of talking too much about artistic pursuits,joy
94,i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,fear
95,i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,joy
96,i know im feeling agitated as it is from a side effect of the too high dose,fear
97,i am small people think i should feel amazing in a bathing suit,joy
98,i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger
99,i hated that i hurt him with my feelings i hated that i was dating somebody i didn t love i hated that i pretended lied to a friend i really treassured,anger
100,ill get round to it this quarter im feeling hopeful about this one,joy
101,i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar,joy
102,i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,joy
103,i feel privileged to have narrated erik princes autobiography civilian warriors the inside story of blackwater and the unsung heroes of the war on terror which will be released this monday nov th,joy
104,i lock mine with a long lifeline and loop to a cleat or piling and take my gas line and if i m feeling especially paranoid the spark plug too covering the hole with duct tape,fear
105,i am not really in financial straits yet so why do i feel so insecure,fear
106,i feel like im almost uh afraid of everything so to speak,fear
107,im feeling a little apprehensive about it because i feel like im suddenly way too old compared to my mental age of about,fear
108,i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy
109,i feel divine and strong,joy
110,i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,anger
111,i have a feeling might have offended one of the dorks sitting in the censorship cubicle of doom,anger
112,im feeling more comfortable in the water,joy
113,i do not feel like a child and yet i could see myself giving into that carefree way of lestat,joy
