ID,spell_used,trap_used,character,position,location,assists,damage_amount,towers_damage,rooms_damage,deaths,money_total,kill_death_ratio,kills_total,level,controlling_time,total_damage,earned_damage,special_enemy_killed,room_kills,main_score,target
1,4,12,TwistedFate,Side.blue,Lane.top_lane,9.0,1862,5119,1862,9,9152,1.2222222222222223,2,13,19,99079,25062,149,1,21,False
2,4,14,Vex,Side.blue,,15.0,4146,6093,4146,8,11851,3.25,11,16,32,121608,16879,145,1,11,True
3,4,12,Ziggs,Side.blue,Lane.bot_lane,3.0,543,2754,543,4,9014,1.75,4,12,11,106757,10049,168,0,11,False
4,4,7,Senna,Side.red,Lane.bot_lane,4.0,1547,1547,1547,6,8155,1.0,2,12,14,53993,12480,129,1,11,False
5,14,4,Karma,Side.red,Lane.utility,,0,2487,0,10,8597,0.8,3,12,44,50145,20659,31,0,43,False
6,4,11,Rengar,Side.red,Lane.jungle,7.0,1564,16053,1564,4,11536,3.5,7,14,14,128646,40236,27,1,17,True
7,4,12,Ziggs,Side.blue,Lane.bot_lane,9.0,19665,20431,19665,3,10699,5.333333333333333,7,12,11,123192,8057,140,4,9,True
8,4,14,Karma,Side.blue,Lane.utility,4.0,740,997,740,1,5469,5.0,1,10,17,18138,3414,25,0,38,False
9,3,4,Zyra,Side.red,Lane.utility,8.0,0,123,0,10,7371,0.9,1,12,49,32425,24632,30,0,91,False
10,4,12,Graves,Side.red,Lane.mid_lane,5.0,3277,3277,3277,5,9270,1.8,4,12,19,109150,13704,162,1,15,False
11,11,4,Olaf,Side.blue,Lane.jungle,3.0,0,7063,0,10,8514,0.5,2,13,12,106474,38614,19,0,29,False
12,14,12,Kled,Side.red,Lane.top_lane,3.0,3646,4463,3646,11,10220,0.6363636363636364,4,14,7,119522,41289,178,0,13,False
13,4,12,Yone,Side.red,Lane.mid_lane,4.0,4296,4848,4296,10,9239,0.9,5,14,19,98763,22870,151,1,15,False
14,14,4,Rakan,Side.red,Lane.utility,27.0,262,3310,262,2,10879,15.5,4,15,44,23781,16657,46,0,98,True
15,4,12,Kayle,Side.red,Lane.mid_lane,2.0,2401,5713,2401,8,8757,0.5,2,14,9,108506,26990,162,0,25,False
16,4,14,Janna,Side.red,Lane.utility,20.0,587,1072,587,10,7829,2.1,1,12,43,21052,20390,18,0,78,False
17,4,14,Rakan,Side.blue,Lane.utility,12.0,0,278,0,11,6413,,0,11,22,16045,17873,40,0,76,False
18,4,12,Ryze,Side.red,Lane.mid_lane,7.0,7353,23006,7353,2,16115,7.0,7,18,37,293892,24122,255,4,40,True
19,14,4,Rakan,Side.blue,Lane.utility,8.0,0,0,0,8,6525,1.0,0,12,21,20107,18034,38,0,75,False
20,3,4,Tristana,Side.red,Lane.bot_lane,3.0,6853,11314,6853,3,12470,2.333333333333333,4,14,4,157315,8883,219,2,18,False
21,4,12,Akshan,Side.red,Lane.top_lane,0.0,1808,1808,1808,1,7473,2.0,2,13,0,88162,9535,173,1,26,True
22,14,4,Bard,Side.blue,Lane.utility,14.0,168,440,168,16,9805,1.0625,3,13,39,19110,29509,15,1,67,False
23,14,4,Karma,Side.blue,Lane.utility,20.0,215,1292,215,8,10170,2.875,3,15,42,63315,22530,37,1,72,False
24,12,4,Seraphine,Side.blue,Lane.bot_lane,6.0,183,392,183,7,7502,1.0,1,13,15,72223,14115,139,0,15,False
25,4,12,Fiora,Side.blue,Lane.top_lane,12.0,7493,15652,7493,6,15939,2.833333333333333,5,18,6,208158,64717,248,3,36,False
26,14,4,Lux,Side.blue,Lane.utility,29.0,3867,4972,3867,8,14148,3.875,2,17,41,122336,22478,87,2,87,False
27,4,11,Zac,Side.blue,Lane.jungle,17.0,249,8366,249,5,7368,3.8,2,12,29,79393,26362,10,0,26,True
28,4,12,Aatrox,Side.blue,Lane.top_lane,5.0,1815,1815,1815,5,10715,1.8,4,15,16,118866,35348,182,0,6,False
29,4,12,Yasuo,Side.red,Lane.mid_lane,3.0,0,6311,0,6,10278,1.6666666666666667,7,13,16,128152,17346,173,0,25,False
30,6,11,Hecarim,Side.blue,Lane.jungle,4.0,0,1298,0,7,7586,1.1428571428571428,4,11,18,103517,25035,26,0,28,False
31,4,14,Janna,Side.blue,Lane.utility,13.0,914,1087,914,6,9138,2.6666666666666665,3,13,67,33357,19517,35,1,96,False
